280	0
280.5	0
281	0
281.5	0
282	0
282.5	0
283	0
283.5	0
284	0
284.5	0
285	0
285.5	0
286	0
286.5	0
287	0
287.5	0
288	0
288.5	0
289	0
289.5	0
290	0
290.5	0
291	0
291.5	0
292	0
292.5	0
293	0
293.5	0
294	0
294.5	0
295	0
295.5	0
296	0
296.5	0
297	0
297.5	0
298	0
298.5	0
299	0
299.5	0
300	0
300.5	0
301	0
301.5	0
302	0
302.5	0.00105
303	0.00174
303.5	0.0022
304	0.00232
304.5	0.00294
305	0.00405
305.5	0.00462
306	0.00459
306.5	0.00522
307	0.0069
307.5	0.00885
308	0.00941
308.5	0.01032
309	0.01011
309.5	0.01082
310	0.01275
310.5	0.01643
311	0.02082
311.5	0.02115
312	0.02352
312.5	0.02498
313	0.02713
313.5	0.02723
314	0.03035
314.5	0.03317
315	0.03466
315.5	0.03016
316	0.03151
316.5	0.03843
317	0.04392
317.5	0.04677
318	0.04518
318.5	0.04781
319	0.05273
319.5	0.05054
320	0.05304
320.5	0.06347
321	0.06486
321.5	0.0619
322	0.05773
322.5	0.05653
323	0.05536
323.5	0.06494
324	0.07204
324.5	0.07421
325	0.0732
325.5	0.08525
326	0.10034
326.5	0.10736
327	0.1051
327.5	0.10172
328	0.093
328.5	0.09858
329	0.1122
329.5	0.12472
330	0.12561
330.5	0.11422
331	0.10761
331.5	0.1119
332	0.11694
332.5	0.11791
333	0.11547
333.5	0.10966
334	0.11191
334.5	0.12022
335	0.12548
335.5	0.12275
336	0.11264
336.5	0.10383
337	0.10172
337.5	0.10915
338	0.11848
338.5	0.12444
339	0.12689
339.5	0.13006
340	0.13776
340.5	0.13767
341	0.12979
341.5	0.12942
342	0.13513
342.5	0.1404
343	0.1426
343.5	0.13482
344	0.11623
344.5	0.11212
345	0.12786
345.5	0.13651
346	0.13348
346.5	0.13613
347	0.13842
347.5	0.13377
348	0.1335
348.5	0.13602
349	0.13122
349.5	0.13491
350	0.14921
350.5	0.16059
351	0.15637
351.5	0.15049
352	0.1472
352.5	0.13936
353	0.14833
353.5	0.16335
354	0.17293
354.5	0.17506
355	0.17526
355.5	0.16944
356	0.15921
356.5	0.14952
357	0.13166
357.5	0.13341
358	0.12432
358.5	0.11558
359	0.13611
359.5	0.16415
360	0.17388
360.5	0.16456
361	0.15165
361.5	0.14874
362	0.15615
362.5	0.17126
363	0.17642
363.5	0.17182
364	0.17819
364.5	0.17676
365	0.18379
365.5	0.20254
366	0.21731
366.5	0.21798
367	0.21421
367.5	0.21043
368	0.19837
368.5	0.1973
369	0.20653
369.5	0.22218
370	0.22558
370.5	0.20421
371	0.20771
371.5	0.21613
372	0.20258
372.5	0.19326
373	0.18639
373.5	0.16824
374	0.16803
374.5	0.167
375	0.17844
375.5	0.19757
376	0.20487
376.5	0.20183
377	0.21682
377.5	0.24219
378	0.26125
378.5	0.25495
379	0.22765
379.5	0.20434
380	0.21502
380.5	0.23066
381	0.23499
381.5	0.21205
382	0.18099
382.5	0.15678
383	0.14071
383.5	0.1364
384	0.15803
384.5	0.1905
385	0.20939
385.5	0.20035
386	0.19355
386.5	0.20151
387	0.20358
387.5	0.20089
388	0.1992
388.5	0.19806
389	0.21529
389.5	0.23893
390	0.25098
390.5	0.25342
391	0.26879
391.5	0.27295
392	0.25161
392.5	0.20999
393	0.15224
393.5	0.12122
394	0.15769
394.5	0.21784
395	0.25762
395.5	0.27476
396	0.24191
396.5	0.17614
397	0.13662
397.5	0.20203
398	0.27396
398.5	0.32399
399	0.3445
399.5	0.35552
400	0.35984
401	0.3757
402	0.3915
403	0.37789
404	0.38496
405	0.37643
406	0.36805
407	0.36235
408	0.37932
409	0.40618
410	0.34711
411	0.38954
412	0.41511
413	0.39921
414	0.39586
415	0.41076
416	0.42404
417	0.41456
418	0.3975
419	0.41472
420	0.38091
421	0.43366
422	0.42876
423	0.41615
424	0.41484
425	0.42855
426	0.41742
427	0.40423
428	0.40915
429	0.37976
430	0.30367
431	0.2763
432	0.46069
433	0.42963
434	0.39782
435	0.43737
436	0.48087
437	0.49199
438	0.43282
439	0.41739
440	0.4796
441	0.47406
442	0.50858
443	0.51699
444	0.50493
445	0.52529
446	0.47205
447	0.5379
448	0.54554
449	0.54546
450	0.56666
451	0.58896
452	0.56505
453	0.52295
454	0.56216
455	0.55932
456	0.57896
457	0.58503
458	0.57373
459	0.57043
460	0.56796
461	0.58914
462	0.59594
463	0.59933
464	0.58237
465	0.57634
466	0.58974
467	0.56461
468	0.59023
469	0.59388
470	0.57218
471	0.58306
472	0.6146
473	0.59195
474	0.59979
475	0.62076
476	0.60078
477	0.60562
478	0.62642
479	0.61559
480	0.62714
481	0.6283
482	0.6319
483	0.62549
484	0.6149
485	0.61417
486	0.49901
487	0.56
488	0.60733
489	0.57328
490	0.64191
491	0.61828
492	0.5907
493	0.63306
494	0.61927
495	0.65889
496	0.62782
497	0.63984
498	0.62364
499	0.62481
500	0.6238
501	0.60592
502	0.60664
503	0.63575
504	0.59363
505	0.63754
506	0.66451
507	0.637
508	0.62205
509	0.6532
510	0.63751
511	0.65065
512	0.66916
513	0.62987
514	0.61778
515	0.63682
516	0.64393
517	0.52574
518	0.60243
519	0.5849
520	0.63973
521	0.64559
522	0.66132
523	0.62454
524	0.67295
525	0.66898
526	0.65157
527	0.57094
528	0.65473
529	0.68647
530	0.66102
531	0.69854
532	0.68722
533	0.61484
534	0.6598
535	0.6711
536	0.70109
537	0.64993
538	0.68368
539	0.66815
540	0.64641
541	0.62253
542	0.67883
543	0.6689
544	0.69368
